Name,Area of specialisation,Link,Image/Pdf,End Date,End Date 2,Country,Level needed,Link2,Action item,Deadline month
University of Newcastle scholarship ,"All disciplines, Computer science, Management, data science",,,,,Australia,"BSc, MSC, PhD",,,
Texas A &M ,"3d printing, Concrete, civil engineering",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/HUD_3DPC_Flyer.pdf,,,USA,,,,
Warwick university,"Agricultural science, Agriculture, Bioscience, Plant science, renewabe resources",https://warwick.ac.uk/fac/cross_fac/mibtp/pgstudy/phd_opportunities/plantscience2023/,,20-Jan,,UK,PhD,,,Jan
Warwick university,Plant science,https://warwick.ac.uk/fac/cross_fac/mibtp/pgstudy/phd_opportunities/plantscience2023/oakdefence,,20-Jan,,UK,PhD,,,Jan
University of Gronigen,"Environmental science, Social sciences",https://www.rug.nl/about-ug/work-with-us/job-opportunities/?details=00347-02S0009PJP,,16-Jan,,Netherlands,PhD,,,Jan
Roslin Foundation - University of Edinburg,"Agricultural science, Agriculture, Animal science, Biology, Computer science, Genetics, Statistics",https://www.ed.ac.uk/roslin/work-study/opportunities/studentships/roslin-foundation,,04-Jan,,UK,PhD,,,Jan
University of Cambridge,toxicology,https://www.mrc-tox.cam.ac.uk/phd-programme/studentships-and-application-information,,31-Mar,,UK,PhD,,,Mar
University of Plymouth,All disciplines,https://www.plymouth.ac.uk/student-life/your-studies/research-degrees/centre-for-doctoral-training-in-sustainable-management-of-uk-marine-resources/study,,17-Jan,,UK,,,,Jan
Institute of soil science,"Environmental engineering, Environmental science, Soil sciences",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FhmsT8gXoAEGMLV.jpeg,,,,PhD,,,
Brock University,"Ecology, Environmental science, Sustainability",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FhtZZlSaYAAyRvh.jpeg,10-Jan,,USA,PhD,,,Jan
UCL,"Artificial intelligence, Computer science",https://www.ucl.ac.uk/foundational-ai-cdt/foundational-artificial-intelligence-mphilphd,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/UCL.jpeg,13-Jan,,UK,PhD,,,Jan
Melbourne International Undergraduate Scholarship,All disciplines,https://scholarships.unimelb.edu.au/awards/melbourne-international-undergraduate-scholarship,,,,Australia,BSc,,,
Minerva Scholarship Fund,"Archaeology, GLOBAL AFFFAIRS, Humanities, Law, Medicine, Social sciences",https://www.universiteitleiden.nl/en/scholarships/sea/minerva-scholarship-fund,,15-Apr,15-Nov,Netherlands,"BSc, MSC",,,Apr
University of Alaska,"Geo technical engineering, Geology, Geoscience, Mining, Mining engineering, civil engineering, petroleum engineering",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/mines.jpeg,,,USA,"MSC, PhD",,,
University of Northern British Columbia,"Geo technical engineering, Mining, Mining engineering, civil engineering, geological engineering",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/Fhxrnz9aMAAdFca.jpeg,,,Canada,"MSC, PhD",,,
Luxembourg institute of science and technology,"Computer science, cognitive science, data science, engineering science",,"Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FhxfhdNacAYsYoo.jpeg, Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/FhxfhdDacAA9Bkr.jpeg",,,Luxembourg,PhD,,,
UBC,"Business administration, Finance, Marketing",,Scholarship%20Database%200f820c6d3ec745ac9600467fe1d2f6cc/Screenshot_2022-11-20_at_5.36.00_PM.png,31-Dec,,Canada,PhD,https://www.sauder.ubc.ca/programs/phd/phd-business-administration/admission-finance,,Dec
